transaction_id,total_cost,transaction_time,transaction_date,transaction_type,customer_id,employee_id,week_number
121,22.58,13:40:34,2024-05-17,Credit/Debit,,8,20
122,21.13,19:11:31,2024-11-12,Credit/Debit,,12,46
123,11.07,13:02:15,2024-11-11,Credit/Debit,692,,46
124,40.4,12:37:14,2024-08-07,Gift Card,444,,32
125,24.37,15:29:51,2024-05-13,Gift Card,,13,20
126,8.24,10:19:03,2024-02-08,Gift Card,497,,6
127,45.58,18:06:00,2024-01-04,Credit/Debit,,8,1
128,5.31,16:23:19,2024-01-12,Credit/Debit,,8,2
129,19.36,11:53:58,2024-02-24,Credit/Debit,803,,8
130,39.71,11:07:44,2024-03-24,Credit/Debit,827,,12
131,32.11,12:53:51,2024-11-01,Gift Card,,12,44
132,48.39,12:37:06,2024-09-05,Gift Card,122,,36
133,25.27,15:40:50,2024-11-08,Gift Card,,13,45
134,31.74,16:37:29,2024-01-30,Gift Card,670,,5
135,35.28,10:36:29,2024-11-20,Gift Card,,4,47
136,27.73,17:03:12,2024-04-17,Gift Card,621,,16
137,18.91,20:40:59,2024-10-28,Credit/Debit,,2,44
138,48.9,21:18:04,2024-06-03,Credit/Debit,601,,23
139,35.83,12:40:02,2024-04-08,Credit/Debit,,4,15
140,34.27,18:56:07,2024-06-16,Credit/Debit,74,,24
141,17.18,17:29:13,2024-07-10,Credit/Debit,,1,28
142,19.49,20:48:55,2024-07-15,Credit/Debit,757,,29
143,37.82,12:08:04,2024-03-12,Gift Card,,8,11
144,36.09,16:22:18,2024-10-25,Credit/Debit,509,,43
145,38.83,12:15:29,2024-09-30,Credit/Debit,724,,40
146,35.39,20:55:41,2024-06-05,Credit/Debit,54,,23
147,34.11,14:52:31,2024-06-25,Credit/Debit,560,,26
148,36.18,17:37:50,2024-05-10,Gift Card,602,,19
149,30.88,11:05:19,2024-03-20,Credit/Debit,238,,12
150,8.62,11:38:23,2024-11-04,Credit/Debit,786,,45
151,23.87,21:19:21,2024-06-25,Credit/Debit,856,,26
152,47.56,21:09:07,2024-06-06,Credit/Debit,,11,23
153,35.35,11:02:11,2024-07-01,Gift Card,337,,27
154,8.53,19:11:08,2024-11-24,Credit/Debit,,9,47
155,11.95,21:16:28,2024-06-04,Gift Card,748,,23
156,20.49,18:25:16,2024-11-13,Gift Card,,4,46
157,21.99,16:29:05,2024-01-12,Credit/Debit,99,,2
158,21.77,18:09:30,2024-03-13,Gift Card,,13,11
159,27.69,17:08:37,2024-01-01,Gift Card,766,,1
160,49.63,18:22:52,2024-05-01,Credit/Debit,,10,18
161,19.09,17:33:37,2024-03-13,Gift Card,,10,11
162,43.56,10:24:58,2024-01-07,Gift Card,647,,1
163,17.99,15:02:32,2024-07-04,Credit/Debit,795,,27
164,8.39,19:05:50,2024-03-17,Credit/Debit,,7,11
165,33.16,18:34:13,2024-03-27,Gift Card,,10,13
166,31.5,17:30:40,2024-02-16,Gift Card,,11,7
167,26.95,21:04:30,2024-08-10,Credit/Debit,826,,32
168,6.72,13:40:21,2024-08-02,Credit/Debit,357,,31
169,22.54,12:45:38,2024-07-12,Gift Card,734,,28
170,39.48,18:52:06,2024-08-21,Credit/Debit,,1,34
171,26.03,20:22:11,2024-04-29,Gift Card,92,,18
172,13.46,18:03:49,2024-09-04,Credit/Debit,,1,36
173,48.13,18:24:22,2024-10-13,Gift Card,,6,41
174,37.28,20:12:10,2024-04-20,Credit/Debit,,3,16
175,46.28,19:26:21,2024-05-13,Credit/Debit,2,,20
176,14.59,10:23:32,2024-01-13,Credit/Debit,,11,2
177,11.78,18:59:50,2024-04-25,Gift Card,,4,17
178,48.48,13:16:25,2024-02-21,Gift Card,896,,8
179,39.2,21:48:54,2024-11-10,Credit/Debit,,8,45
180,45.27,11:30:58,2024-08-16,Gift Card,,12,33
181,13.01,13:05:09,2024-08-06,Credit/Debit,,3,32
182,31.91,18:21:37,2024-06-11,Credit/Debit,,10,24
183,30.34,13:03:14,2024-06-18,Credit/Debit,518,,25
184,7.28,20:28:37,2024-02-02,Gift Card,495,,5
185,42.33,15:29:22,2024-01-15,Credit/Debit,284,,3
186,48.46,12:11:17,2024-07-11,Credit/Debit,583,,28
187,20.88,16:46:37,2024-04-14,Credit/Debit,,3,15
188,36.88,12:26:20,2024-05-19,Credit/Debit,748,,20
189,23.83,10:27:25,2024-11-15,Gift Card,585,,46
190,21.55,15:44:38,2024-06-27,Gift Card,,3,26
191,40.62,20:15:29,2024-10-21,Credit/Debit,225,,43
192,31.03,17:09:19,2024-12-07,Gift Card,,4,49
193,36.57,12:06:10,2024-02-21,Credit/Debit,,4,8
194,7.77,19:20:19,2024-11-30,Gift Card,211,,48
195,11.47,21:14:15,2024-10-20,Credit/Debit,,1,42
196,18.32,18:28:52,2024-03-10,Credit/Debit,413,,10
197,35.28,14:43:11,2024-06-23,Gift Card,,10,25
198,31.31,17:14:51,2024-02-05,Credit/Debit,,13,6
199,45.94,11:40:26,2024-03-01,Gift Card,15,,9
200,49.86,21:57:05,2024-05-26,Gift Card,,12,21
201,21.95,12:43:46,2024-11-30,Gift Card,259,,48
202,29.16,17:39:45,2024-11-27,Credit/Debit,,4,48
203,6.85,14:16:22,2024-07-21,Credit/Debit,78,,29
204,25.64,14:05:10,2024-02-27,Credit/Debit,213,,9
205,5.64,19:02:38,2024-01-20,Gift Card,490,,3
206,46.76,13:40:05,2024-12-04,Credit/Debit,,3,49
207,25.81,13:08:40,2024-02-16,Gift Card,277,,7
208,15.21,14:54:25,2024-04-18,Credit/Debit,,3,16
209,24.67,12:14:28,2024-11-12,Gift Card,564,,46
210,12.75,17:27:43,2024-11-04,Credit/Debit,,13,45
211,27.74,17:27:04,2024-11-25,Credit/Debit,595,,48
212,33.25,13:33:42,2024-09-10,Gift Card,178,,37
213,47.74,15:50:58,2024-02-09,Credit/Debit,,10,6
214,36.22,10:11:27,2024-01-02,Gift Card,79,,1
215,7.81,11:44:55,2024-06-10,Credit/Debit,502,,24
216,41.53,12:53:30,2024-03-09,Gift Card,308,,10
217,39.78,17:51:25,2024-08-24,Gift Card,,10,34
218,44.82,17:53:06,2024-10-01,Gift Card,,10,40
219,6.89,17:34:08,2024-03-13,Credit/Debit,92,,11
220,31.59,21:33:06,2024-11-01,Gift Card,,12,44
221,29.86,15:56:36,2024-10-01,Gift Card,,6,40
222,23.83,19:34:27,2024-10-12,Gift Card,415,,41
223,31.78,18:17:39,2024-09-20,Credit/Debit,,13,38
224,5.68,20:59:09,2024-03-29,Gift Card,,5,13
225,6.51,12:55:01,2024-10-27,Credit/Debit,,5,43
226,17.47,21:05:21,2024-06-19,Credit/Debit,182,,25
227,5.25,11:59:14,2024-06-05,Credit/Debit,,11,23
228,35.86,21:24:44,2024-03-04,Gift Card,,6,10
229,37.84,12:52:28,2024-11-20,Gift Card,382,,47
230,30.82,19:15:20,2024-09-28,Gift Card,,2,39
231,16.2,17:59:24,2024-11-28,Gift Card,358,,48
232,42.3,18:28:10,2024-07-23,Gift Card,906,,30
233,10.73,11:16:54,2024-11-12,Credit/Debit,,11,46
234,20.18,15:40:05,2024-06-07,Gift Card,329,,23
235,25.01,11:17:16,2024-05-31,Gift Card,991,,22
236,35.4,16:07:52,2024-03-29,Gift Card,,3,13
237,6.11,13:21:55,2024-01-21,Credit/Debit,182,,3
238,19.87,13:06:37,2024-11-02,Credit/Debit,,13,44
239,48.55,19:17:17,2024-10-29,Gift Card,,1,44
240,37.96,21:02:39,2024-10-31,Credit/Debit,,11,44
241,40.68,19:09:25,2024-07-01,Gift Card,414,,27
242,35.01,16:35:08,2024-04-14,Gift Card,954,,15
243,31.77,17:06:07,2024-01-21,Credit/Debit,,7,3
244,31.16,14:38:26,2024-07-17,Credit/Debit,,1,29
245,8.79,15:35:21,2024-09-29,Gift Card,846,,39
246,19.35,11:08:57,2024-05-31,Gift Card,,9,22
247,19.22,14:31:17,2024-08-21,Credit/Debit,42,,34
248,17.46,20:24:35,2024-07-18,Credit/Debit,,11,29
249,28.86,13:56:45,2024-10-31,Gift Card,,7,44
250,48.8,21:03:54,2024-06-21,Gift Card,,9,25
251,29.28,12:51:47,2024-01-16,Credit/Debit,690,,3
252,19.84,19:55:21,2024-02-03,Credit/Debit,,7,5
253,23.68,10:34:29,2024-09-29,Credit/Debit,737,,39
254,35.6,11:55:02,2024-01-31,Gift Card,359,,5
255,47.35,12:58:20,2024-05-19,Gift Card,,10,20
256,6.81,17:02:18,2024-11-25,Credit/Debit,442,,48
257,46.29,20:19:40,2024-04-07,Credit/Debit,627,,14
258,24.54,16:54:36,2024-07-22,Credit/Debit,,2,30
259,9.22,16:01:49,2024-04-28,Credit/Debit,166,,17
260,47.02,20:33:37,2024-02-28,Gift Card,866,,9
261,16.41,17:51:14,2024-04-03,Credit/Debit,782,,14
262,12.57,19:31:22,2024-07-10,Credit/Debit,,12,28
263,9.81,13:41:52,2024-10-08,Credit/Debit,,3,41
264,42.36,19:46:29,2024-06-24,Gift Card,,3,26
265,27.65,14:20:10,2024-08-02,Credit/Debit,,10,31
266,31.68,18:11:08,2024-01-18,Gift Card,,12,3
267,37.13,16:23:25,2024-03-30,Gift Card,,1,13
268,42.77,16:39:31,2024-03-09,Gift Card,,11,10
269,19.31,16:47:37,2024-04-13,Credit/Debit,,4,15
270,6.2,19:01:04,2024-11-05,Gift Card,548,,45
271,37.69,12:12:00,2024-03-29,Credit/Debit,861,,13
272,22.99,17:33:16,2024-01-09,Credit/Debit,,7,2
273,27.35,20:11:23,2024-07-15,Gift Card,247,,29
274,39.47,12:31:13,2024-11-23,Gift Card,373,,47
275,35.09,12:29:21,2024-09-21,Gift Card,76,,38
276,5.89,20:41:00,2024-09-08,Gift Card,,11,36
277,10.91,14:39:16,2024-03-13,Credit/Debit,895,,11
278,42.04,18:41:40,2024-07-27,Credit/Debit,537,,30
279,28.54,17:59:24,2024-10-27,Credit/Debit,631,,43
280,49.79,21:55:01,2024-02-12,Credit/Debit,586,,7
281,42.21,17:42:40,2024-10-24,Gift Card,,9,43
282,17.7,21:32:07,2024-08-28,Credit/Debit,314,,35
283,11.17,19:59:57,2024-07-14,Gift Card,482,,28
284,41.51,10:35:11,2024-01-20,Gift Card,,12,3
285,44.27,19:50:23,2024-08-09,Credit/Debit,,11,32
286,7.71,16:56:33,2024-04-12,Credit/Debit,435,,15
287,5.44,15:26:14,2024-08-18,Gift Card,,13,33
288,11.21,19:56:40,2024-05-15,Credit/Debit,894,,20
289,13.61,20:11:24,2024-05-24,Gift Card,,5,21
290,25.96,10:12:00,2024-08-09,Credit/Debit,14,,32
291,19.2,11:14:17,2024-02-06,Credit/Debit,984,,6
292,17.12,16:21:09,2024-01-11,Gift Card,880,,2
293,8.05,16:20:12,2024-02-24,Gift Card,,5,8
294,32.83,12:27:59,2024-07-18,Gift Card,,6,29
295,35.06,12:05:37,2024-05-08,Gift Card,,10,19
296,33.9,10:28:50,2024-11-23,Gift Card,,3,47
297,27.83,19:51:56,2024-03-23,Gift Card,,7,12
298,27.16,13:58:46,2024-05-02,Gift Card,,1,18
299,20.36,18:36:13,2024-01-24,Gift Card,,5,4
300,28.06,11:21:11,2024-08-05,Credit/Debit,140,,32
301,46.73,12:21:31,2024-03-26,Gift Card,793,,13
302,39.8,16:42:11,2024-03-19,Gift Card,481,,12
303,37.15,14:07:14,2024-01-15,Gift Card,,7,3
304,9.21,21:30:41,2024-05-17,Credit/Debit,716,,20
305,42.25,21:22:26,2024-07-08,Credit/Debit,784,,28
306,37.4,20:56:23,2024-09-02,Credit/Debit,155,,36
307,41.77,14:51:05,2024-10-28,Gift Card,,9,44
308,11.75,20:04:44,2024-10-07,Gift Card,598,,41
309,47.27,19:07:46,2024-06-30,Credit/Debit,,10,26
310,10.7,21:23:19,2024-08-23,Credit/Debit,,8,34
311,38.48,14:43:21,2024-08-10,Gift Card,,8,32
312,8.97,12:04:58,2024-04-11,Credit/Debit,,9,15
313,28.4,14:25:10,2024-09-03,Credit/Debit,848,,36
314,14.63,14:09:39,2024-11-22,Gift Card,,2,47
315,16.92,16:37:27,2024-04-07,Credit/Debit,744,,14
316,48.97,20:34:28,2024-08-23,Credit/Debit,874,,34
317,7.46,10:21:59,2024-01-19,Credit/Debit,,2,3
318,34.98,10:56:04,2024-07-12,Credit/Debit,,13,28
319,34.49,17:43:15,2024-07-26,Credit/Debit,409,,30
320,8.17,18:51:38,2024-08-18,Gift Card,507,,33
321,48.5,17:15:48,2024-10-15,Gift Card,906,,42
322,35.2,13:52:18,2024-09-26,Gift Card,,7,39
323,38.48,17:22:04,2024-02-12,Gift Card,412,,7
324,5.44,17:35:35,2024-12-01,Gift Card,,10,48
325,11.44,14:16:07,2024-11-18,Gift Card,,6,47
326,36.46,19:31:31,2024-08-15,Credit/Debit,,5,33
327,13.05,14:33:58,2024-04-06,Credit/Debit,359,,14
328,10.47,13:37:38,2024-02-05,Gift Card,,3,6
329,16.0,20:21:03,2024-02-08,Gift Card,,7,6
330,16.76,19:01:46,2024-04-04,Credit/Debit,,6,14
331,9.13,19:25:11,2024-12-08,Gift Card,,9,49
332,25.38,13:11:38,2024-04-20,Credit/Debit,,5,16
333,28.64,18:39:50,2024-01-30,Credit/Debit,907,,5
334,21.01,17:54:28,2024-01-24,Gift Card,,8,4
335,31.44,12:13:56,2024-09-01,Gift Card,,9,35
336,19.35,20:00:59,2024-01-02,Credit/Debit,,11,1
337,18.6,12:15:47,2024-04-29,Credit/Debit,242,,18
338,7.66,18:59:56,2024-01-01,Credit/Debit,,3,1
339,17.82,14:44:59,2024-03-25,Gift Card,,7,13
340,37.42,18:39:55,2024-09-21,Gift Card,,8,38
341,34.9,13:26:05,2024-10-10,Credit/Debit,,6,41
342,12.13,15:41:34,2024-03-04,Credit/Debit,,13,10
343,15.44,18:54:44,2024-08-09,Credit/Debit,577,,32
344,40.71,20:05:47,2024-04-21,Gift Card,,9,16
345,7.28,15:15:07,2024-01-20,Gift Card,,5,3
346,9.13,17:18:48,2024-09-25,Gift Card,,8,39
347,24.79,11:35:23,2024-02-08,Credit/Debit,,12,6
348,35.04,10:52:01,2024-02-02,Credit/Debit,639,,5
349,36.14,15:15:37,2024-01-23,Credit/Debit,,6,4
350,27.23,20:49:57,2024-06-20,Gift Card,825,,25
351,48.62,10:31:32,2024-09-12,Gift Card,,10,37
352,43.71,11:01:00,2024-11-01,Gift Card,,13,44
353,13.65,20:30:23,2024-07-02,Gift Card,247,,27
354,24.56,18:25:34,2024-02-24,Gift Card,256,,8
355,35.36,14:26:39,2024-03-26,Credit/Debit,,12,13
356,31.55,17:19:44,2024-09-29,Credit/Debit,825,,39
357,39.07,21:43:16,2024-06-03,Credit/Debit,,5,23
358,27.84,20:13:53,2024-06-09,Gift Card,912,,23
359,36.01,17:18:27,2024-07-11,Gift Card,11,,28
360,45.83,19:12:49,2024-07-28,Credit/Debit,102,,30
361,43.83,19:55:01,2024-06-13,Credit/Debit,,13,24
362,41.46,15:27:25,2024-08-24,Gift Card,,6,34
363,30.7,11:04:35,2024-10-15,Gift Card,,11,42
364,35.96,13:17:29,2024-06-02,Gift Card,126,,22
365,43.66,14:43:02,2024-05-26,Credit/Debit,23,,21
366,44.05,14:11:42,2024-06-28,Credit/Debit,286,,26
367,45.45,18:56:28,2024-04-30,Gift Card,,11,18
368,6.88,16:22:39,2024-03-09,Credit/Debit,,5,10
369,30.69,21:29:51,2024-01-14,Credit/Debit,,6,2
370,49.62,16:36:33,2024-12-03,Credit/Debit,411,,49
371,9.94,21:11:26,2024-02-21,Credit/Debit,,12,8
372,38.47,21:29:43,2024-03-29,Credit/Debit,86,,13
373,19.43,11:45:21,2024-08-28,Gift Card,29,,35
374,45.17,19:47:36,2024-08-03,Credit/Debit,,6,31
375,11.35,15:06:17,2024-01-20,Credit/Debit,808,,3
376,28.24,20:06:45,2024-05-08,Credit/Debit,,12,19
377,8.46,20:33:10,2024-05-01,Credit/Debit,,6,18
378,41.39,14:49:55,2024-07-07,Credit/Debit,,6,27
379,47.09,12:46:27,2024-01-21,Gift Card,,8,3
380,28.28,18:13:42,2024-05-11,Credit/Debit,,12,19
381,13.23,16:11:10,2024-06-22,Gift Card,755,,25
382,6.51,20:56:34,2024-07-05,Gift Card,,3,27
383,15.8,21:29:47,2024-06-01,Credit/Debit,,5,22
384,33.82,15:05:48,2024-07-25,Credit/Debit,91,,30
385,43.77,16:12:48,2024-06-26,Credit/Debit,,10,26
386,6.21,16:05:20,2024-06-02,Credit/Debit,,5,22
387,37.13,17:09:37,2024-07-21,Credit/Debit,963,,29
388,19.91,11:04:47,2024-12-01,Credit/Debit,758,,48
389,19.24,12:01:41,2024-12-05,Credit/Debit,869,,49
390,25.42,21:51:56,2024-10-31,Gift Card,167,,44
391,45.03,17:27:12,2024-02-22,Gift Card,727,,8
392,16.87,18:14:36,2024-10-20,Gift Card,579,,42
393,12.15,19:11:17,2024-06-02,Gift Card,151,,22
394,23.11,16:30:52,2024-04-09,Credit/Debit,540,,15
395,20.94,14:41:03,2024-05-27,Gift Card,582,,22
396,19.38,12:39:27,2024-10-07,Credit/Debit,925,,41
397,25.66,18:33:16,2024-08-03,Credit/Debit,,6,31
398,40.14,18:36:36,2024-05-10,Gift Card,987,,19
399,35.36,18:01:05,2024-11-16,Gift Card,,4,46
400,12.78,13:51:06,2024-02-10,Gift Card,,2,6
401,22.9,21:21:06,2024-11-02,Gift Card,,7,44
402,6.18,15:08:34,2024-06-24,Gift Card,,2,26
403,13.3,17:40:12,2024-06-19,Gift Card,560,,25
404,19.56,19:59:14,2024-05-06,Gift Card,803,,19
405,28.37,20:43:40,2024-11-24,Credit/Debit,,7,47
406,30.45,21:22:42,2024-06-15,Gift Card,,9,24
407,37.81,21:19:58,2024-01-03,Credit/Debit,148,,1
408,22.1,20:40:22,2024-05-08,Gift Card,102,,19
409,10.34,12:51:42,2024-09-27,Credit/Debit,493,,39
410,9.66,15:34:18,2024-02-04,Credit/Debit,,10,5
411,11.43,13:23:50,2024-01-17,Credit/Debit,,9,3
412,48.87,10:45:22,2024-08-25,Gift Card,437,,34
413,21.05,10:48:29,2024-10-21,Credit/Debit,301,,43
414,26.05,20:52:13,2024-10-29,Credit/Debit,174,,44
415,47.85,20:43:31,2024-10-12,Credit/Debit,914,,41
416,5.66,17:12:27,2024-01-24,Gift Card,776,,4
417,47.45,15:01:19,2024-04-15,Gift Card,594,,16
418,37.27,11:41:47,2024-03-13,Gift Card,,11,11
419,32.37,18:44:29,2024-01-28,Gift Card,,11,4
420,47.75,15:40:17,2024-04-14,Credit/Debit,690,,15
421,39.46,20:08:10,2024-10-24,Gift Card,,2,43
422,34.82,13:45:02,2024-07-09,Gift Card,255,,28
423,25.64,10:20:54,2024-11-20,Gift Card,,8,47
424,38.67,13:46:11,2024-10-30,Gift Card,,10,44
425,22.95,14:18:33,2024-10-01,Credit/Debit,131,,40
426,36.32,13:46:57,2024-08-20,Credit/Debit,831,,34
427,13.8,18:23:58,2024-02-19,Credit/Debit,601,,8
428,44.25,14:27:21,2024-02-09,Credit/Debit,52,,6
429,27.86,17:36:37,2024-01-26,Credit/Debit,221,,4
430,6.8,10:29:51,2024-02-29,Gift Card,84,,9
431,34.62,15:00:30,2024-02-14,Credit/Debit,,8,7
432,38.31,12:33:50,2024-03-07,Credit/Debit,383,,10
433,34.47,10:19:53,2024-10-21,Gift Card,,3,43
434,23.46,15:45:59,2024-10-05,Credit/Debit,,3,40
435,19.23,13:53:56,2024-08-06,Credit/Debit,,2,32
436,38.74,17:32:06,2024-09-08,Credit/Debit,,9,36
437,5.45,19:25:20,2024-10-27,Gift Card,512,,43
438,28.62,17:24:26,2024-05-20,Gift Card,942,,21
439,29.65,19:02:56,2024-07-24,Credit/Debit,,9,30
440,39.76,20:31:49,2024-06-19,Credit/Debit,490,,25
441,12.3,10:21:31,2024-01-31,Gift Card,,13,5
442,10.33,15:55:03,2024-04-23,Gift Card,,6,17
443,14.83,11:48:07,2024-03-25,Gift Card,937,,13
444,17.84,19:11:30,2024-03-05,Gift Card,85,,10
445,25.3,19:30:52,2024-09-15,Gift Card,,2,37
446,13.02,21:20:38,2024-09-01,Credit/Debit,208,,35
447,27.9,21:04:02,2024-04-28,Gift Card,463,,17
448,33.39,21:36:03,2024-03-22,Gift Card,484,,12
